(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
(~J <=> ~D) & ~D & (~J <=> ~D) & (B | ~J) & (F ==> B) & (B | ~J) & (B | ~J) . What is ~J ?	(~J <=> ~D) & ~D & (B | ~J) & (F ==> B) . What is ~J ?	(~J <=> ~D) & ~D & (B | ~J) & (F ==> B)	True
J & J . What is J ?	J . What is J ?	J	True
F . What is F ?	F . What is F ?	F	True
J . What is ~I ?	J . What is ~I ?	J	Unknown HELP!
~I & (D ^ B) & (B & ~A) & (J ==> D) & (B & ~A) & ~C & (~E & I) & (~E & I) & (D ^ B) & (~E & I) . What is B ?	~I & (D ^ B) & (B & ~A) & (J ==> D) & ~C & (~E & I) . What is B ?	~I & (D ^ B) & (B & ~A) & (J ==> D) & ~C & (~E & I)	Contradictory
(F <=> ~G) & (~G ^ H) & F & F & F . What is G ?	(F <=> ~G) & (~G ^ H) & F . What is G ?	(F <=> ~G) & (~G ^ H) & F	False
~F & (A ==> ~H) & (B & E) & (B & E) & (~I | C) & (A ==> ~H) & ~I & (E & ~I) & ~I & (A ==> ~H) & ~I . What is E ?	~F & (A ==> ~H) & (B & E) & (~I | C) & ~I & (E & ~I) . What is E ?	~F & (A ==> ~H) & (B & E) & (~I | C) & ~I & (E & ~I)	True
(~A | ~E) & (~E <=> ~B) & (~E <=> ~B) & (~E <=> ~B) & (~J & ~A) & (~J & ~A) & ~E . What is ~E ?	(~A | ~E) & (~E <=> ~B) & (~J & ~A) & ~E . What is ~E ?	(~A | ~E) & (~E <=> ~B) & (~J & ~A) & ~E	True
(~E ^ ~J) & ~E & ~E & (~C & I) . What is I ?	(~E ^ ~J) & ~E & (~C & I) . What is I ?	(~E ^ ~J) & ~E & (~C & I)	True
(~D ^ ~E) & C & (H & ~F) & ~E & (H & ~F) & (B <=> H) & ~E & ~E & (~D ^ ~E) & (B <=> H) & (B <=> H) . What is ~F ?	(~D ^ ~E) & C & (H & ~F) & ~E & (B <=> H) . What is ~F ?	(~D ^ ~E) & C & (H & ~F) & ~E & (B <=> H)	True
I & I . What is I ?	I . What is I ?	I	True
(B ^ E) & B & (B ^ E) & (~D ^ A) & (B ^ E) & (E ==> ~D) . What is ~E ?	(B ^ E) & B & (~D ^ A) & (E ==> ~D) . What is ~E ?	(B ^ E) & B & (~D ^ A) & (E ==> ~D)	True
(G & ~J) & (~J | E) & ~C & (E | ~A) & (G & ~J) & (E | ~A) & (~J | E) & (~I <=> C) & (G & ~J) & (E | ~A) & (~I <=> C) . What is ~J ?	(G & ~J) & (~J | E) & ~C & (E | ~A) & (~I <=> C) . What is ~J ?	(G & ~J) & (~J | E) & ~C & (E | ~A) & (~I <=> C)	True
C . What is C ?	C . What is C ?	C	True
(~E ^ D) & (~E ^ D) . What is ~E ?	(~E ^ D) . What is ~E ?	(~E ^ D)	Unknown HELP!
(~D & ~E) & ~E & (~E <=> H) & (~B ^ ~D) & (~B ^ ~D) & (~B ^ ~D) & ~E & ~E . What is ~D ?	(~D & ~E) & ~E & (~E <=> H) & (~B ^ ~D) . What is ~D ?	(~D & ~E) & ~E & (~E <=> H) & (~B ^ ~D)	True
~H & ~H . What is C ?	~H . What is C ?	~H	Unknown HELP!
~I & ~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
(~D ==> A) & ~D & ~D . What is D ?	(~D ==> A) & ~D . What is D ?	(~D ==> A) & ~D	False
F & F & F . What is F ?	F . What is F ?	F	True
(J & I) & B & (A ==> ~B) & (A ==> ~B) & (J & I) & (A ==> ~B) . What is I ?	(J & I) & B & (A ==> ~B) . What is I ?	(J & I) & B & (A ==> ~B)	True
(~A & ~C) & J & (B ==> ~A) & (~C <=> ~D) & (E ^ I) & ~I & (B ==> ~A) & (E ^ I) & (E ^ I) . What is J ?	(~A & ~C) & J & (B ==> ~A) & (~C <=> ~D) & (E ^ I) & ~I . What is J ?	(~A & ~C) & J & (B ==> ~A) & (~C <=> ~D) & (E ^ I) & ~I	True
(~A ==> ~C) & (~J ^ ~F) & (~A ==> ~C) & (~F & ~A) & (~J ^ ~F) & (~J ^ ~F) & (~F & ~A) & (~A ==> ~C) & (~F & ~A) . What is ~F ?	(~A ==> ~C) & (~J ^ ~F) & (~F & ~A) . What is ~F ?	(~A ==> ~C) & (~J ^ ~F) & (~F & ~A)	True
G & ~J & (J | ~C) & (J | ~C) & (~F <=> G) & ~J & ~J . What is ~C ?	G & ~J & (J | ~C) & (~F <=> G) . What is ~C ?	G & ~J & (J | ~C) & (~F <=> G)	True
B . What is B ?	B . What is B ?	B	True
~J & ~J . What is ~G ?	~J . What is ~G ?	~J	Unknown HELP!
~F & ~D & (~A & ~B) & ~D & (E ==> ~H) . What is ~F ?	~F & ~D & (~A & ~B) & (E ==> ~H) . What is ~F ?	~F & ~D & (~A & ~B) & (E ==> ~H)	True
~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(G <=> E) & (G <=> E) & ~D & (~C ==> G) & (E & ~I) & (E & ~I) & (~C ==> G) & ~D . What is E ?	(G <=> E) & ~D & (~C ==> G) & (E & ~I) . What is E ?	(G <=> E) & ~D & (~C ==> G) & (E & ~I)	True
(~A ==> F) & (H <=> ~D) & B & ~I . What is ~B ?	(~A ==> F) & (H <=> ~D) & B & ~I . What is ~B ?	(~A ==> F) & (H <=> ~D) & B & ~I	False
J & G & J & G & (E & ~F) & (E & ~F) & J & (~B & ~J) & G & (~B & ~J) . What is ~E ?	J & G & (E & ~F) & (~B & ~J) . What is ~E ?	J & G & (E & ~F) & (~B & ~J)	Contradictory
(H ^ ~E) & (~E & A) & (H ^ ~E) & H . What is A ?	(H ^ ~E) & (~E & A) & H . What is A ?	(H ^ ~E) & (~E & A) & H	Contradictory
(~I & A) & (A <=> E) & (A <=> E) & ~H & ~H & (E ^ ~G) & (~I & A) & (E ^ ~G) & (A <=> E) . What is ~A ?	(~I & A) & (A <=> E) & ~H & (E ^ ~G) . What is ~A ?	(~I & A) & (A <=> E) & ~H & (E ^ ~G)	False
G & (I & ~D) & (I & ~D) & G & (~G <=> I) & (~G <=> I) & (~G <=> I) & G . What is D ?	G & (I & ~D) & (~G <=> I) . What is D ?	G & (I & ~D) & (~G <=> I)	Contradictory
G & A & G & (~F <=> A) & (J ==> ~E) & G & (J ==> ~E) & (I | ~F) & (J ==> ~E) & (A ==> C) . What is ~A ?	G & A & (~F <=> A) & (J ==> ~E) & (I | ~F) & (A ==> C) . What is ~A ?	G & A & (~F <=> A) & (J ==> ~E) & (I | ~F) & (A ==> C)	False
(~F | ~E) & (H & ~F) & (~F | ~E) & (H & ~F) . What is F ?	(~F | ~E) & (H & ~F) . What is F ?	(~F | ~E) & (H & ~F)	False
(~D | H) & (I & ~B) & ~H & ~H & (~B ^ A) & (~D | H) & (~B ^ A) & (I & ~B) & (~D | H) . What is B ?	(~D | H) & (I & ~B) & ~H & (~B ^ A) . What is B ?	(~D | H) & (I & ~B) & ~H & (~B ^ A)	False
(A <=> F) & (I <=> A) & (I <=> A) & (A <=> F) . What is ~I ?	(A <=> F) & (I <=> A) . What is ~I ?	(A <=> F) & (I <=> A)	Unknown HELP!
~I & ~I & ~I . What is I ?	~I . What is I ?	~I	False
(~J & ~E) & I & (~J & ~E) & I & (I ^ ~H) & A & A & I & A . What is ~A ?	(~J & ~E) & I & (I ^ ~H) & A . What is ~A ?	(~J & ~E) & I & (I ^ ~H) & A	False
~G & (G ==> ~B) & I & (~B & ~E) & I & (A ==> ~F) & (A ==> ~F) & I . What is ~B ?	~G & (G ==> ~B) & I & (~B & ~E) & (A ==> ~F) . What is ~B ?	~G & (G ==> ~B) & I & (~B & ~E) & (A ==> ~F)	True
(~A ^ ~B) & (~A ^ ~B) & (H & ~A) & (H & ~A) & (H & ~A) . What is ~A ?	(~A ^ ~B) & (H & ~A) . What is ~A ?	(~A ^ ~B) & (H & ~A)	True
(~I & E) & (~I & E) & (E & A) . What is ~I ?	(~I & E) & (E & A) . What is ~I ?	(~I & E) & (E & A)	True
~F & ~F . What is F ?	~F . What is F ?	~F	False
A & A & A . What is A ?	A . What is A ?	A	True
(~G | J) & ~B & (~G | J) & ~A & (J & ~F) & (J & ~F) & ~A & (C & E) & (~F ==> B) & (J & ~F) & (~F ==> B) & (C & E) & (C & E) . What is ~J ?	(~G | J) & ~B & ~A & (J & ~F) & (C & E) & (~F ==> B) . What is ~J ?	(~G | J) & ~B & ~A & (J & ~F) & (C & E) & (~F ==> B)	Contradictory
~C & (~G ^ ~I) & (C & B) & (B <=> ~G) & ~D & (~G ^ ~I) & (B <=> ~G) & (C & B) & (B <=> ~G) & ~D & (~G ^ ~I) & (~D <=> ~J) . What is G ?	~C & (~G ^ ~I) & (C & B) & (B <=> ~G) & ~D & (~D <=> ~J) . What is G ?	~C & (~G ^ ~I) & (C & B) & (B <=> ~G) & ~D & (~D <=> ~J)	Contradictory
(~G <=> B) & (~G <=> B) & (B & I) & (D ^ ~G) & (D ^ ~G) . What is D ?	(~G <=> B) & (B & I) & (D ^ ~G) . What is D ?	(~G <=> B) & (B & I) & (D ^ ~G)	False
~G & ~G & (G & ~E) & ~G & (~I | ~A) & (~I | ~A) & (~I | ~A) & C . What is ~D ?	~G & (G & ~E) & (~I | ~A) & C . What is ~D ?	~G & (G & ~E) & (~I | ~A) & C	Contradictory
H . What is ~H ?	H . What is ~H ?	H	False
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(C & D) & (C & D) . What is ~D ?	(C & D) . What is ~D ?	(C & D)	False
~F . What is F ?	~F . What is F ?	~F	False
(~H | J) & ~F & (D ==> E) & (~H | J) & ~F & (D ==> E) & ~F & (D ==> E) . What is H ?	(~H | J) & ~F & (D ==> E) . What is H ?	(~H | J) & ~F & (D ==> E)	Unknown HELP!
~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(~E & ~G) & E & (~G ==> ~J) & (~J <=> ~D) & (~G ==> ~J) & (~G ==> ~J) . What is ~E ?	(~E & ~G) & E & (~G ==> ~J) & (~J <=> ~D) . What is ~E ?	(~E & ~G) & E & (~G ==> ~J) & (~J <=> ~D)	Contradictory
J & (A | D) & (~C ^ ~G) & (~G & J) & (~G & J) & J & (~C ^ ~G) & ~A . What is ~G ?	J & (A | D) & (~C ^ ~G) & (~G & J) & ~A . What is ~G ?	J & (A | D) & (~C ^ ~G) & (~G & J) & ~A	True
J & (E | ~I) & ~G & ~G & (B | ~C) & (B | ~C) & J & (B | ~C) . What is J ?	J & (E | ~I) & ~G & (B | ~C) . What is J ?	J & (E | ~I) & ~G & (B | ~C)	True
(B ==> ~D) & (E | ~G) & (B ==> ~D) & D & G & G . What is ~B ?	(B ==> ~D) & (E | ~G) & D & G . What is ~B ?	(B ==> ~D) & (E | ~G) & D & G	True
(~D & ~J) . What is ~D ?	(~D & ~J) . What is ~D ?	(~D & ~J)	True
~F & (A <=> ~J) . What is J ?	~F & (A <=> ~J) . What is J ?	~F & (A <=> ~J)	Unknown HELP!
H & H . What is ~H ?	H . What is ~H ?	H	False
(~B & C) . What is B ?	(~B & C) . What is B ?	(~B & C)	False
(~E <=> A) & (~E <=> A) & (A <=> B) & (A <=> B) . What is B ?	(~E <=> A) & (A <=> B) . What is B ?	(~E <=> A) & (A <=> B)	Unknown HELP!
(J <=> ~H) & D & (J <=> ~H) & (D <=> J) & (D <=> J) & D & D & (J <=> ~H) . What is ~D ?	(J <=> ~H) & D & (D <=> J) . What is ~D ?	(J <=> ~H) & D & (D <=> J)	False
~E & ~C & (D ^ ~C) & (D ^ ~C) & (~G <=> ~E) & (D ^ ~C) & ~E & ~C & ~C . What is D ?	~E & ~C & (D ^ ~C) & (~G <=> ~E) . What is D ?	~E & ~C & (D ^ ~C) & (~G <=> ~E)	False
~F . What is F ?	~F . What is F ?	~F	False
~C . What is ~C ?	~C . What is ~C ?	~C	True
J . What is ~J ?	J . What is ~J ?	J	False
(A ^ J) & D & D & J & J & (~F & ~D) & J . What is F ?	(A ^ J) & D & J & (~F & ~D) . What is F ?	(A ^ J) & D & J & (~F & ~D)	Contradictory
(~E ==> H) & (~E ==> H) & ~E & ~E & (~F ^ ~I) & (~F ^ ~I) & (~E ==> H) & (H ^ ~F) & ~E & (C ==> D) & (H ^ ~F) & J & (~F ^ ~I) & J . What is ~H ?	(~E ==> H) & ~E & (~F ^ ~I) & (H ^ ~F) & (C ==> D) & J . What is ~H ?	(~E ==> H) & ~E & (~F ^ ~I) & (H ^ ~F) & (C ==> D) & J	False
(D & H) & ~I & E & (J & E) & (H | ~B) & E & (J & E) & ~I & E . What is I ?	(D & H) & ~I & E & (J & E) & (H | ~B) . What is I ?	(D & H) & ~I & E & (J & E) & (H | ~B)	False
(J <=> C) & C & (C | ~E) & (~B | J) & (C | ~E) & (~B | J) . What is ~J ?	(J <=> C) & C & (C | ~E) & (~B | J) . What is ~J ?	(J <=> C) & C & (C | ~E) & (~B | J)	False
~G . What is ~G ?	~G . What is ~G ?	~G	True
(~G & ~C) & (~C <=> B) & (~C <=> B) & (~G & ~C) & (~G & ~C) . What is C ?	(~G & ~C) & (~C <=> B) . What is C ?	(~G & ~C) & (~C <=> B)	False
~E & (~I <=> ~A) & (~I <=> ~A) & (~E ==> ~D) & (~D ^ ~I) . What is A ?	~E & (~I <=> ~A) & (~E ==> ~D) & (~D ^ ~I) . What is A ?	~E & (~I <=> ~A) & (~E ==> ~D) & (~D ^ ~I)	True
(E <=> B) & (E <=> B) & (A & E) & (F | A) . What is E ?	(E <=> B) & (A & E) & (F | A) . What is E ?	(E <=> B) & (A & E) & (F | A)	True
E & (A ==> ~G) & E & (~G & H) & (A ==> ~G) & E & (A ==> ~G) & (H ==> ~C) & (J <=> I) & (~G & H) & (H ==> ~C) & (~G & H) & F & F & F . What is G ?	E & (A ==> ~G) & (~G & H) & (H ==> ~C) & (J <=> I) & F . What is G ?	E & (A ==> ~G) & (~G & H) & (H ==> ~C) & (J <=> I) & F	False
A . What is ~A ?	A . What is ~A ?	A	False
H . What is H ?	H . What is H ?	H	True
~C & (C & ~H) & (C & ~H) & ~G & ~G & (A | ~G) & ~G & ~C & ~C . What is ~G ?	~C & (C & ~H) & ~G & (A | ~G) . What is ~G ?	~C & (C & ~H) & ~G & (A | ~G)	Contradictory
(~G ^ ~I) & (A <=> ~B) & (~G ^ ~I) & G & H & G & (J & ~G) & (J & ~G) & (J & ~G) . What is G ?	(~G ^ ~I) & (A <=> ~B) & G & H & (J & ~G) . What is G ?	(~G ^ ~I) & (A <=> ~B) & G & H & (J & ~G)	Contradictory
(~A ^ C) & (C & F) & (F ==> J) & (C & F) & (C & F) . What is ~J ?	(~A ^ C) & (C & F) & (F ==> J) . What is ~J ?	(~A ^ C) & (C & F) & (F ==> J)	False
(~J & ~D) & (G & B) & ~B & (~D & G) & ~B & (~D & G) & ~B & (~D & G) . What is G ?	(~J & ~D) & (G & B) & ~B & (~D & G) . What is G ?	(~J & ~D) & (G & B) & ~B & (~D & G)	Contradictory
~J & (~H ^ ~G) & ~A & ~J & ~A & (~I & ~J) & (~I & ~J) & (~H ^ ~G) & (~H ^ ~G) & (~I & ~J) . What is ~A ?	~J & (~H ^ ~G) & ~A & (~I & ~J) . What is ~A ?	~J & (~H ^ ~G) & ~A & (~I & ~J)	True
C & (~H <=> ~D) & (~J ^ ~H) & (~J ^ ~H) & C & C . What is ~C ?	C & (~H <=> ~D) & (~J ^ ~H) . What is ~C ?	C & (~H <=> ~D) & (~J ^ ~H)	False
~G & (E | ~F) & (~H | ~G) & (~H | ~G) & ~G & (~H | ~G) & ~G & E & (~G & A) . What is H ?	~G & (E | ~F) & (~H | ~G) & E & (~G & A) . What is H ?	~G & (E | ~F) & (~H | ~G) & E & (~G & A)	Unknown HELP!
(H & ~J) & (~J ^ ~F) & (~J ^ ~F) & J & J . What is ~H ?	(H & ~J) & (~J ^ ~F) & J . What is ~H ?	(H & ~J) & (~J ^ ~F) & J	Contradictory
C & ~E & (~C ^ ~I) & (~C ^ ~I) & (~C ^ ~I) & (~A <=> E) & C & (~I | B) & C & ~E & ~E & (~I | B) & (~I | B) . What is ~C ?	C & ~E & (~C ^ ~I) & (~A <=> E) & (~I | B) . What is ~C ?	C & ~E & (~C ^ ~I) & (~A <=> E) & (~I | B)	False
~H & (~J | ~D) & (~D & ~I) & (~E <=> ~J) & (~J | ~D) & (~J | ~D) & (H | F) & (H | F) & (H | F) . What is ~D ?	~H & (~J | ~D) & (~D & ~I) & (~E <=> ~J) & (H | F) . What is ~D ?	~H & (~J | ~D) & (~D & ~I) & (~E <=> ~J) & (H | F)	True
(~B & ~C) & ~J & ~J . What is C ?	(~B & ~C) & ~J . What is C ?	(~B & ~C) & ~J	False
~B & (~D ==> ~C) & ~B & ~B & (A | ~D) & (~H | B) & (A | ~D) & (~C | ~E) & (~H | B) & (A | ~D) & (~D ==> ~C) & (~H | B) . What is D ?	~B & (~D ==> ~C) & (A | ~D) & (~H | B) & (~C | ~E) . What is D ?	~B & (~D ==> ~C) & (A | ~D) & (~H | B) & (~C | ~E)	Unknown HELP!
E & (E ^ ~H) & J & J & (A & E) & (E ^ ~H) & (A & E) & (F ==> ~J) & E & (F ==> ~J) & (F ==> ~J) . What is ~A ?	E & (E ^ ~H) & J & (A & E) & (F ==> ~J) . What is ~A ?	E & (E ^ ~H) & J & (A & E) & (F ==> ~J)	False
(A & B) & A & A & (A & B) . What is ~B ?	(A & B) & A . What is ~B ?	(A & B) & A	False
(~B & G) & (G & ~F) & (~B & G) & (G & ~F) & (~B & G) & (G & ~F) . What is F ?	(~B & G) & (G & ~F) . What is F ?	(~B & G) & (G & ~F)	False
(G & D) & (~J ^ ~C) & (~J ^ ~C) & (~J ^ ~C) & (D | ~J) & (D | ~J) & (G & D) & (D | ~J) & (G & D) . What is ~G ?	(G & D) & (~J ^ ~C) & (D | ~J) . What is ~G ?	(G & D) & (~J ^ ~C) & (D | ~J)	False
H & H . What is H ?	H . What is H ?	H	True
E & E & E . What is ~E ?	E . What is ~E ?	E	False
(B & ~I) & (~G <=> E) & (E ==> ~J) & (B & ~I) & ~J & ~B & ~J & ~J & (B & ~I) . What is E ?	(B & ~I) & (~G <=> E) & (E ==> ~J) & ~J & ~B . What is E ?	(B & ~I) & (~G <=> E) & (E ==> ~J) & ~J & ~B	Contradictory
D & D & D . What is ~D ?	D . What is ~D ?	D	False
(~G & ~H) & (~G & ~H) & (~H ==> I) & (~H ==> I) & (I & ~E) & (~G & ~H) & (~H ==> I) . What is H ?	(~G & ~H) & (~H ==> I) & (I & ~E) . What is H ?	(~G & ~H) & (~H ==> I) & (I & ~E)	False
(F <=> ~G) & (~B & D) & (~G ^ H) & H & J & H & J & (~G ^ H) & (~B & D) & (~B & D) . What is F ?	(F <=> ~G) & (~B & D) & (~G ^ H) & H & J . What is F ?	(F <=> ~G) & (~B & D) & (~G ^ H) & H & J	False
~D & ~D . What is D ?	~D . What is D ?	~D	False
G & ~F & (D <=> H) & ~F & (E & ~B) & ~F & (E & ~B) & (E & ~B) . What is ~B ?	G & ~F & (D <=> H) & (E & ~B) . What is ~B ?	G & ~F & (D <=> H) & (E & ~B)	True
B & B & B . What is ~B ?	B . What is ~B ?	B	False
~G & ~G & (~A <=> ~F) & (~A <=> ~F) & (~D & E) & H & (E <=> ~A) & (E <=> ~A) & (~B ^ I) & (~A <=> ~F) . What is ~H ?	~G & (~A <=> ~F) & (~D & E) & H & (E <=> ~A) & (~B ^ I) . What is ~H ?	~G & (~A <=> ~F) & (~D & E) & H & (E <=> ~A) & (~B ^ I)	False
J & J & J . What is B ?	J . What is B ?	J	Unknown HELP!
(B ==> F) & (F & D) & E & (C ==> B) & E & (B ==> F) & (B ==> F) & (F & D) & (F & D) & (~E ^ ~J) & (~E ^ ~J) & E . What is D ?	(B ==> F) & (F & D) & E & (C ==> B) & (~E ^ ~J) . What is D ?	(B ==> F) & (F & D) & E & (C ==> B) & (~E ^ ~J)	True
~F & ~F & ~F . What is G ?	~F . What is G ?	~F	Unknown HELP!
(~B ^ ~A) & (~B ^ ~A) & (~B ^ ~A) & (~A & C) & (~A & C) & (~A & C) . What is ~B ?	(~B ^ ~A) & (~A & C) . What is ~B ?	(~B ^ ~A) & (~A & C)	False
(A ^ C) & A & (J | F) & J & A & A & J . What is A ?	(A ^ C) & A & (J | F) & J . What is A ?	(A ^ C) & A & (J | F) & J	True
(~F | B) & (~D & H) & (~D & H) & (~D & H) & (H ==> ~F) . What is H ?	(~F | B) & (~D & H) & (H ==> ~F) . What is H ?	(~F | B) & (~D & H) & (H ==> ~F)	True
(A ^ ~D) & (A ^ ~D) & (~I & ~F) & (~F | A) & (~F | A) . What is I ?	(A ^ ~D) & (~I & ~F) & (~F | A) . What is I ?	(A ^ ~D) & (~I & ~F) & (~F | A)	False
(~C ==> ~B) & (~C ==> ~B) & (~D ==> ~C) & (~B & H) & (~D ==> ~C) & (~B & H) & (~B & H) . What is ~B ?	(~C ==> ~B) & (~D ==> ~C) & (~B & H) . What is ~B ?	(~C ==> ~B) & (~D ==> ~C) & (~B & H)	True
~G & ~G . What is ~J ?	~G . What is ~J ?	~G	Unknown HELP!
J & ~A & J & (I ^ E) & (~F <=> B) & (I ^ E) & (~F <=> B) & (~F <=> B) . What is B ?	J & ~A & (I ^ E) & (~F <=> B) . What is B ?	J & ~A & (I ^ E) & (~F <=> B)	Unknown HELP!
(~J & ~A) & (~J & ~A) & A & A & (E <=> H) & A & B & B & (E <=> H) . What is ~D ?	(~J & ~A) & A & (E <=> H) & B . What is ~D ?	(~J & ~A) & A & (E <=> H) & B	Contradictory
~F & ~F & (~E <=> ~I) & (~E <=> ~I) & (~E <=> ~I) . What is I ?	~F & (~E <=> ~I) . What is I ?	~F & (~E <=> ~I)	Unknown HELP!
G & G & (B ==> G) & G & (G ^ ~C) & (B ==> G) & (B ==> G) & (G ^ ~C) & (G ^ ~C) . What is C ?	G & (B ==> G) & (G ^ ~C) . What is C ?	G & (B ==> G) & (G ^ ~C)	True
(~C & ~E) & (F ==> ~B) & F & ~G & F & (F ==> ~B) & (~C & ~E) & (F ==> ~B) . What is G ?	(~C & ~E) & (F ==> ~B) & F & ~G . What is G ?	(~C & ~E) & (F ==> ~B) & F & ~G	False
C & (C | ~G) & (C | ~G) & (C | ~G) . What is ~C ?	C & (C | ~G) . What is ~C ?	C & (C | ~G)	False
(~A & ~E) & (~A & ~E) & (~A & ~E) . What is ~A ?	(~A & ~E) . What is ~A ?	(~A & ~E)	True
~D & ~A & (~H ==> ~C) & (J | D) & (~C <=> ~A) & (J | D) & (~C <=> ~A) & (~C <=> ~A) . What is ~A ?	~D & ~A & (~H ==> ~C) & (J | D) & (~C <=> ~A) . What is ~A ?	~D & ~A & (~H ==> ~C) & (J | D) & (~C <=> ~A)	True
(H <=> ~G) & F & (~G <=> ~B) & (~G <=> ~B) & (H <=> ~G) & (~G <=> ~B) & F & (H <=> ~G) & F . What is ~F ?	(H <=> ~G) & F & (~G <=> ~B) . What is ~F ?	(H <=> ~G) & F & (~G <=> ~B)	False
(A ==> ~D) & ~D & (C & A) & (C & A) & (C & A) . What is ~C ?	(A ==> ~D) & ~D & (C & A) . What is ~C ?	(A ==> ~D) & ~D & (C & A)	False
~C & (D <=> ~H) & ~C & (D <=> ~H) & (D <=> ~H) . What is C ?	~C & (D <=> ~H) . What is C ?	~C & (D <=> ~H)	False
~E . What is E ?	~E . What is E ?	~E	False
(~B & ~F) & (~B & ~F) & (~F <=> C) & (~F <=> C) & (~F <=> C) . What is ~C ?	(~B & ~F) & (~F <=> C) . What is ~C ?	(~B & ~F) & (~F <=> C)	False
(D ^ A) & ~D & ~D & ~D . What is ~D ?	(D ^ A) & ~D . What is ~D ?	(D ^ A) & ~D	True
(~E | B) & F & (~E | B) & F & F . What is ~F ?	(~E | B) & F . What is ~F ?	(~E | B) & F	False
(~J ==> ~A) & ~E & (~J ==> ~A) & ~E & (~D & C) & ~E & (~D & C) . What is ~A ?	(~J ==> ~A) & ~E & (~D & C) . What is ~A ?	(~J ==> ~A) & ~E & (~D & C)	Unknown HELP!
(~J & ~B) & (A ==> C) & B & B & (G <=> A) & (G <=> A) & (~J & ~B) & B . What is G ?	(~J & ~B) & (A ==> C) & B & (G <=> A) . What is G ?	(~J & ~B) & (A ==> C) & B & (G <=> A)	Contradictory
J & (~J ==> C) & (~J ==> C) & J & J & (~J ==> C) . What is ~J ?	J & (~J ==> C) . What is ~J ?	J & (~J ==> C)	False
(~D & ~A) & (~E | ~D) & (~D & ~A) & (~E | ~D) & (~E | ~D) & ~E & ~E & ~E . What is D ?	(~D & ~A) & (~E | ~D) & ~E . What is D ?	(~D & ~A) & (~E | ~D) & ~E	False
~H & (G & ~H) & (~B | F) & (G & ~H) & (~B | F) & (F ==> G) & (~B | F) & (F ==> G) . What is H ?	~H & (G & ~H) & (~B | F) & (F ==> G) . What is H ?	~H & (G & ~H) & (~B | F) & (F ==> G)	False
~A & (B & ~F) & (~H ==> ~D) & (A <=> ~E) & ~D & (~D & B) & (B & ~F) & (B & ~F) & ~D & (~D & B) & ~D . What is D ?	~A & (B & ~F) & (~H ==> ~D) & (A <=> ~E) & ~D & (~D & B) . What is D ?	~A & (B & ~F) & (~H ==> ~D) & (A <=> ~E) & ~D & (~D & B)	False
(D | ~J) & B & J & (I ^ ~B) & J & (I ^ ~B) & B & (D | ~J) . What is ~B ?	(D | ~J) & B & J & (I ^ ~B) . What is ~B ?	(D | ~J) & B & J & (I ^ ~B)	False
(I ^ C) & (C <=> ~E) & (G & I) & (G & I) & I . What is E ?	(I ^ C) & (C <=> ~E) & (G & I) & I . What is E ?	(I ^ C) & (C <=> ~E) & (G & I) & I	True
D . What is D ?	D . What is D ?	D	True
G & G & (~J ^ ~E) & (~J ^ ~E) & (~G ==> ~C) & ~J & ~J & (~G ==> ~C) & (~G ==> ~C) . What is ~J ?	G & (~J ^ ~E) & (~G ==> ~C) & ~J . What is ~J ?	G & (~J ^ ~E) & (~G ==> ~C) & ~J	True
(E <=> J) & ~G & (~G ^ E) & (~G ^ E) & (~G ^ E) & (E <=> J) & (E <=> J) . What is ~A ?	(E <=> J) & ~G & (~G ^ E) . What is ~A ?	(E <=> J) & ~G & (~G ^ E)	Unknown HELP!
~J . What is ~J ?	~J . What is ~J ?	~J	True
(D & ~E) . What is ~F ?	(D & ~E) . What is ~F ?	(D & ~E)	Unknown HELP!
G . What is C ?	G . What is C ?	G	Unknown HELP!
(D | B) & (~J | ~E) & E & (~J | ~E) & E & B & (~J | ~E) & (~F ==> ~J) & E & (~F ==> ~J) & (G | ~F) & B & (~F ==> ~J) & (G | ~F) & (D | B) & (G | ~F) . What is J ?	(D | B) & (~J | ~E) & E & B & (~F ==> ~J) & (G | ~F) . What is J ?	(D | B) & (~J | ~E) & E & B & (~F ==> ~J) & (G | ~F)	False
C & (~E & H) & (~A <=> J) & (J <=> ~E) & (~E & H) & (~A <=> J) & ~A & (~A <=> J) & (~C ==> G) . What is ~E ?	C & (~E & H) & (~A <=> J) & (J <=> ~E) & ~A & (~C ==> G) . What is ~E ?	C & (~E & H) & (~A <=> J) & (J <=> ~E) & ~A & (~C ==> G)	True
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(~A & D) & (~A & D) & (~A & D) . What is B ?	(~A & D) . What is B ?	(~A & D)	Unknown HELP!
(B & F) & (~E & ~G) & (~G <=> B) & ~B & ~B & (~E & ~G) & (~E & ~G) & ~B . What is ~G ?	(B & F) & (~E & ~G) & (~G <=> B) & ~B . What is ~G ?	(B & F) & (~E & ~G) & (~G <=> B) & ~B	Contradictory
~G & ~G & ~G . What is G ?	~G . What is G ?	~G	False
