E & (~B ==> C) & E & (~E ^ ~G) & (~E ^ ~G) & E & (~E ^ ~G) & (~B ==> C) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G)	Unknown HELP!
(H ^ F) & C & (J ==> A) & (~G ^ ~E) & C & ~D & (J ==> A) & C & ~D & (J ==> A) & (A & ~G) & (A & ~G) & (A & ~G) . What is A ?	(H ^ F) & C & (J ==> A) & (~G ^ ~E) & ~D & (A & ~G) . What is A ?	(H ^ F) & C & (J ==> A) & (~G ^ ~E) & ~D & (A & ~G)	True
(F & ~J) . What is J ?	(F & ~J) . What is J ?	(F & ~J)	False
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(F <=> ~E) & (~E ==> ~I) & (~E ==> ~I) & (~E ==> ~I) & F . What is I ?	(F <=> ~E) & (~E ==> ~I) & F . What is I ?	(F <=> ~E) & (~E ==> ~I) & F	False
E & E & E . What is E ?	E . What is E ?	E	True
(~D | ~I) & (~D | ~I) & (~D | ~I) & ~C & ~C & (~I <=> C) . What is ~D ?	(~D | ~I) & ~C & (~I <=> C) . What is ~D ?	(~D | ~I) & ~C & (~I <=> C)	True
(C & F) & (E ^ C) & (~I ^ E) . What is F ?	(C & F) & (E ^ C) & (~I ^ E) . What is F ?	(C & F) & (E ^ C) & (~I ^ E)	True
A & A & (~C | ~H) & F & (E <=> ~J) . What is ~A ?	A & (~C | ~H) & F & (E <=> ~J) . What is ~A ?	A & (~C | ~H) & F & (E <=> ~J)	False
(D <=> ~B) & (~B ^ I) & (I & ~F) & (~B ^ I) & (~B ^ I) & (D <=> ~B) & (D <=> ~B) . What is F ?	(D <=> ~B) & (~B ^ I) & (I & ~F) . What is F ?	(D <=> ~B) & (~B ^ I) & (I & ~F)	False
G & G & G . What is ~G ?	G . What is ~G ?	G	False
(G ==> ~H) & ~G & (C ^ J) & (J & B) & (B | ~D) & ~I & (B | ~D) & (C ^ J) & ~I . What is ~J ?	(G ==> ~H) & ~G & (C ^ J) & (J & B) & (B | ~D) & ~I . What is ~J ?	(G ==> ~H) & ~G & (C ^ J) & (J & B) & (B | ~D) & ~I	False
G & (~G ==> ~D) & (~G ==> ~D) & (~G ==> ~D) . What is ~G ?	G & (~G ==> ~D) . What is ~G ?	G & (~G ==> ~D)	False
(~B ==> F) & (~B ==> F) & (E ==> ~A) & (F & C) & (F & C) & ~I & (E ==> ~A) & (E ==> ~A) . What is F ?	(~B ==> F) & (E ==> ~A) & (F & C) & ~I . What is F ?	(~B ==> F) & (E ==> ~A) & (F & C) & ~I	True
(J <=> ~H) & ~J . What is H ?	(J <=> ~H) & ~J . What is H ?	(J <=> ~H) & ~J	True
C & C . What is ~C ?	C . What is ~C ?	C	False
(G & D) & ~I & (~J ==> A) & (D & F) & (D & F) . What is D ?	(G & D) & ~I & (~J ==> A) & (D & F) . What is D ?	(G & D) & ~I & (~J ==> A) & (D & F)	True
(~E ^ ~G) & (~E ^ ~G) & (~G <=> ~C) & (~G <=> ~C) . What is ~G ?	(~E ^ ~G) & (~G <=> ~C) . What is ~G ?	(~E ^ ~G) & (~G <=> ~C)	Unknown HELP!
H & H . What is ~A ?	H . What is ~A ?	H	Unknown HELP!
(D ==> ~C) & A & G & A & A & (B ==> ~G) & (B ==> ~G) & (B ==> ~G) . What is A ?	(D ==> ~C) & A & G & (B ==> ~G) . What is A ?	(D ==> ~C) & A & G & (B ==> ~G)	True
E & E & E . What is ~E ?	E . What is ~E ?	E	False
~B & ~B . What is B ?	~B . What is B ?	~B	False
(J | H) & (H ==> I) & (J | H) & (J | H) & (H ==> I) . What is H ?	(J | H) & (H ==> I) . What is H ?	(J | H) & (H ==> I)	Unknown HELP!
(H ^ ~G) & (~C ==> H) & (B | E) & E & (H ^ ~G) & (H ^ ~G) & (D <=> ~C) & E & E . What is ~C ?	(H ^ ~G) & (~C ==> H) & (B | E) & E & (D <=> ~C) . What is ~C ?	(H ^ ~G) & (~C ==> H) & (B | E) & E & (D <=> ~C)	Unknown HELP!
(C ^ G) & ~C & ~C & (C ^ G) & (~J & H) & (~J & H) & (C ^ G) & B & (~J & H) . What is B ?	(C ^ G) & ~C & (~J & H) & B . What is B ?	(C ^ G) & ~C & (~J & H) & B	True
~J & ~J & ~J . What is J ?	~J . What is J ?	~J	False
D & (E <=> ~J) & D & (~G & H) & (~G & H) & (~G & H) . What is H ?	D & (E <=> ~J) & (~G & H) . What is H ?	D & (E <=> ~J) & (~G & H)	True
E & E . What is ~E ?	E . What is ~E ?	E	False
(E | ~H) & ~H & (~H | I) & ~H & (~H | I) & (~H | I) . What is H ?	(E | ~H) & ~H & (~H | I) . What is H ?	(E | ~H) & ~H & (~H | I)	False
(B & ~I) & (F | E) & (B & ~I) & (B & ~I) & (~I ==> J) & ~F & (J <=> G) & (J <=> G) & (F | E) . What is ~B ?	(B & ~I) & (F | E) & (~I ==> J) & ~F & (J <=> G) . What is ~B ?	(B & ~I) & (F | E) & (~I ==> J) & ~F & (J <=> G)	False
(~G | B) & (~G | B) . What is B ?	(~G | B) . What is B ?	(~G | B)	Unknown HELP!
I & I & (D | I) & (D | I) & (I <=> ~G) & (I <=> ~G) & (D | I) . What is G ?	I & (D | I) & (I <=> ~G) . What is G ?	I & (D | I) & (I <=> ~G)	False
~A & ~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
(G ==> ~H) & ~J & ~H & ~H & (G ==> ~H) & (A <=> I) & (A <=> I) & ~J & ~H . What is J ?	(G ==> ~H) & ~J & ~H & (A <=> I) . What is J ?	(G ==> ~H) & ~J & ~H & (A <=> I)	False
(~J ^ F) & (~J ^ F) & (~H ^ ~J) & (~H ^ ~J) & (~H ^ ~J) . What is ~F ?	(~J ^ F) & (~H ^ ~J) . What is ~F ?	(~J ^ F) & (~H ^ ~J)	Unknown HELP!
(I ^ D) & (D & ~C) . What is ~I ?	(I ^ D) & (D & ~C) . What is ~I ?	(I ^ D) & (D & ~C)	True
(G ^ F) & (~C | ~B) & J & (F ^ J) & (~C | ~B) & ~H & ~H & (F ^ J) & ~H & (~C | ~B) . What is ~G ?	(G ^ F) & (~C | ~B) & J & (F ^ J) & ~H . What is ~G ?	(G ^ F) & (~C | ~B) & J & (F ^ J) & ~H	False
(I & B) & (B | ~J) & (B | ~J) & (B | ~J) & (I & B) . What is B ?	(I & B) & (B | ~J) . What is B ?	(I & B) & (B | ~J)	True
(F <=> ~H) & F & (F <=> ~H) & (F <=> ~H) & F & (~H ==> C) & (~H ==> C) . What is C ?	(F <=> ~H) & F & (~H ==> C) . What is C ?	(F <=> ~H) & F & (~H ==> C)	True
~C & (B ==> ~I) & (F | B) & (E <=> ~C) & F & (E <=> ~C) & F & (E <=> ~C) . What is ~I ?	~C & (B ==> ~I) & (F | B) & (E <=> ~C) & F . What is ~I ?	~C & (B ==> ~I) & (F | B) & (E <=> ~C) & F	Unknown HELP!
(~J ==> C) & ~J & (C ^ ~H) & (~J ==> C) & ~J . What is ~C ?	(~J ==> C) & ~J & (C ^ ~H) . What is ~C ?	(~J ==> C) & ~J & (C ^ ~H)	False
~B & ~B . What is B ?	~B . What is B ?	~B	False
(H ^ B) & (~E <=> F) & A & (H ^ B) & E & E & E . What is A ?	(H ^ B) & (~E <=> F) & A & E . What is A ?	(H ^ B) & (~E <=> F) & A & E	True
~F & (~E ^ J) & (J <=> ~G) & ~F & (J <=> ~G) & (J <=> ~G) . What is ~F ?	~F & (~E ^ J) & (J <=> ~G) . What is ~F ?	~F & (~E ^ J) & (J <=> ~G)	True
(~F <=> ~B) & ~D & (~F <=> ~B) & ~C & (~G ==> A) & ~D & ~D . What is D ?	(~F <=> ~B) & ~D & ~C & (~G ==> A) . What is D ?	(~F <=> ~B) & ~D & ~C & (~G ==> A)	False
~C & (~G ==> A) & (~G ==> A) & ~G & (A & ~B) & (F & ~J) & (~H ^ ~G) & (F & ~J) & (~H ^ ~G) & (~G ==> A) & (A & ~B) & ~G & (A & ~B) & ~C . What is ~D ?	~C & (~G ==> A) & ~G & (A & ~B) & (F & ~J) & (~H ^ ~G) . What is ~D ?	~C & (~G ==> A) & ~G & (A & ~B) & (F & ~J) & (~H ^ ~G)	Unknown HELP!
~H & ~H & ~H . What is H ?	~H . What is H ?	~H	False
(~G ^ C) & (~F & ~I) & (~F & ~I) & ~C & ~C & ~C . What is ~I ?	(~G ^ C) & (~F & ~I) & ~C . What is ~I ?	(~G ^ C) & (~F & ~I) & ~C	True
(C <=> E) & (~J | C) & ~E & (C <=> E) & ~E & (C <=> E) . What is E ?	(C <=> E) & (~J | C) & ~E . What is E ?	(C <=> E) & (~J | C) & ~E	False
(~I & ~J) & (E | ~G) & D & ~G & D & (~I & ~J) & (~D ^ ~I) & (~I & ~J) & (~D ^ ~I) & ~G & (~D ^ ~I) . What is A ?	(~I & ~J) & (E | ~G) & D & ~G & (~D ^ ~I) . What is A ?	(~I & ~J) & (E | ~G) & D & ~G & (~D ^ ~I)	Unknown HELP!
~J & (~J ^ ~C) . What is J ?	~J & (~J ^ ~C) . What is J ?	~J & (~J ^ ~C)	False
~E . What is E ?	~E . What is E ?	~E	False
~C & (A & ~I) & (~I <=> J) & (~C | ~G) & J & (~C | ~G) . What is ~J ?	~C & (A & ~I) & (~I <=> J) & (~C | ~G) & J . What is ~J ?	~C & (A & ~I) & (~I <=> J) & (~C | ~G) & J	False
~H & (~G & I) & (~E | ~G) & (J ==> F) & (~G & I) & (J ==> F) & (~G & I) & (~C ==> ~E) & (~E | ~G) & F & F & (~C ==> ~E) & F . What is H ?	~H & (~G & I) & (~E | ~G) & (J ==> F) & (~C ==> ~E) & F . What is H ?	~H & (~G & I) & (~E | ~G) & (J ==> F) & (~C ==> ~E) & F	False
(~B <=> A) & (D ==> ~E) & (I & D) & ~A & (D ==> ~E) & (I & D) & (~B <=> A) . What is ~E ?	(~B <=> A) & (D ==> ~E) & (I & D) & ~A . What is ~E ?	(~B <=> A) & (D ==> ~E) & (I & D) & ~A	True
~J . What is J ?	~J . What is J ?	~J	False
(B ^ E) & (B ^ E) & ~D & (B ^ E) . What is D ?	(B ^ E) & ~D . What is D ?	(B ^ E) & ~D	False
(~A | J) & (~B | ~E) & E & E & ~J & (H ^ ~B) & ~J & (H ^ ~B) & (H ^ ~B) . What is ~H ?	(~A | J) & (~B | ~E) & E & ~J & (H ^ ~B) . What is ~H ?	(~A | J) & (~B | ~E) & E & ~J & (H ^ ~B)	True
I & I & (C & ~D) & (C & ~D) . What is ~D ?	I & (C & ~D) . What is ~D ?	I & (C & ~D)	True
(~E ==> C) & (~E ==> C) & ~A & (G <=> I) & ~F & ~A & (~B <=> ~E) & (~B <=> ~E) & (~B <=> ~E) . What is F ?	(~E ==> C) & ~A & (G <=> I) & ~F & (~B <=> ~E) . What is F ?	(~E ==> C) & ~A & (G <=> I) & ~F & (~B <=> ~E)	False
~G & (~A | ~B) & (C ==> ~I) & (~A | ~B) & (~A | ~B) & A & (C ==> ~I) . What is G ?	~G & (~A | ~B) & (C ==> ~I) & A . What is G ?	~G & (~A | ~B) & (C ==> ~I) & A	False
D . What is D ?	D . What is D ?	D	True
(I ^ ~H) & (A <=> I) & (I ^ ~H) & ~H & ~H & (F | A) & (A <=> I) & (I ^ ~H) . What is I ?	(I ^ ~H) & (A <=> I) & ~H & (F | A) . What is I ?	(I ^ ~H) & (A <=> I) & ~H & (F | A)	False
(~D | ~C) & (~C ^ ~E) & (~C ^ ~E) & (~A ==> ~D) & (~A ==> ~D) & (~D | ~C) & D & (~D | ~C) . What is A ?	(~D | ~C) & (~C ^ ~E) & (~A ==> ~D) & D . What is A ?	(~D | ~C) & (~C ^ ~E) & (~A ==> ~D) & D	True
(~F ==> A) & (H & ~F) & (A & ~B) & (H & ~F) & (~F ==> A) & (H & ~F) . What is ~B ?	(~F ==> A) & (H & ~F) & (A & ~B) . What is ~B ?	(~F ==> A) & (H & ~F) & (A & ~B)	True
(B & ~I) & A & (B & ~I) & (~I ^ ~E) & (~I ^ ~E) . What is E ?	(B & ~I) & A & (~I ^ ~E) . What is E ?	(B & ~I) & A & (~I ^ ~E)	True
A & (~I & G) & (~I & G) & C & (H <=> J) & (H <=> J) & C & C . What is ~I ?	A & (~I & G) & C & (H <=> J) . What is ~I ?	A & (~I & G) & C & (H <=> J)	True
E & (J <=> D) & E & E & D & (F | G) & (F | G) & (F | G) & D & D . What is J ?	E & (J <=> D) & D & (F | G) . What is J ?	E & (J <=> D) & D & (F | G)	True
~C & (A <=> J) & J & (~B ==> C) & (C | F) & (E ^ ~B) & ~C & (~B ==> C) & ~C & (~B ==> C) & (A <=> J) & (A <=> J) & (C | F) . What is ~B ?	~C & (A <=> J) & J & (~B ==> C) & (C | F) & (E ^ ~B) . What is ~B ?	~C & (A <=> J) & J & (~B ==> C) & (C | F) & (E ^ ~B)	False
E & E . What is I ?	E . What is I ?	E	Unknown HELP!
F & F . What is F ?	F . What is F ?	F	True
G & G . What is ~G ?	G . What is ~G ?	G	False
(~B | ~E) & (C | A) & (A ==> F) & ~E & (F & ~G) & (A ==> F) & (F & ~G) & (A ==> F) . What is ~F ?	(~B | ~E) & (C | A) & (A ==> F) & ~E & (F & ~G) . What is ~F ?	(~B | ~E) & (C | A) & (A ==> F) & ~E & (F & ~G)	False
(~E <=> G) & (~E <=> G) & (~E <=> G) & ~C & G & ~C & (B & ~C) & (B & ~C) . What is ~E ?	(~E <=> G) & ~C & G & (B & ~C) . What is ~E ?	(~E <=> G) & ~C & G & (B & ~C)	True
(~E & A) & E & E & E . What is D ?	(~E & A) & E . What is D ?	(~E & A) & E	Contradictory
(~G & A) & (A ==> B) & ~F & (~G & A) & ~F & (B ^ F) & ~F & (A ==> B) & (A ==> B) . What is G ?	(~G & A) & (A ==> B) & ~F & (B ^ F) . What is G ?	(~G & A) & (A ==> B) & ~F & (B ^ F)	False
~B & (~D ^ B) & (G | ~J) & (~J | A) & (~I & G) & (~J | A) & (~I & G) & ~A & (~I & G) . What is I ?	~B & (~D ^ B) & (G | ~J) & (~J | A) & (~I & G) & ~A . What is I ?	~B & (~D ^ B) & (G | ~J) & (~J | A) & (~I & G) & ~A	False
(B ==> ~G) & (A <=> E) & ~A & (A <=> E) & H & (A <=> E) & H & (H ==> B) & (H ==> B) . What is B ?	(B ==> ~G) & (A <=> E) & ~A & H & (H ==> B) . What is B ?	(B ==> ~G) & (A <=> E) & ~A & H & (H ==> B)	True
(G ==> ~C) & (G ==> ~C) & (G ==> ~C) & (~F & G) & (~F & G) & (~F & G) . What is ~G ?	(G ==> ~C) & (~F & G) . What is ~G ?	(G ==> ~C) & (~F & G)	False
(H ==> F) & A & A & ~H & (~A ^ ~E) & A & (C | ~A) & ~H . What is ~E ?	(H ==> F) & A & ~H & (~A ^ ~E) & (C | ~A) . What is ~E ?	(H ==> F) & A & ~H & (~A ^ ~E) & (C | ~A)	True
H & (D & ~H) & H & (D & ~H) & H & (D & ~H) . What is C ?	H & (D & ~H) . What is C ?	H & (D & ~H)	Contradictory
(~C & I) & (I ==> ~G) & (~E <=> ~C) & (I ==> ~G) & (~C & I) . What is ~E ?	(~C & I) & (I ==> ~G) & (~E <=> ~C) . What is ~E ?	(~C & I) & (I ==> ~G) & (~E <=> ~C)	True
(~F ==> A) & (~I ==> ~F) & (~I ==> ~F) & (~J & ~I) & (~J & ~I) & (~J & ~I) . What is J ?	(~F ==> A) & (~I ==> ~F) & (~J & ~I) . What is J ?	(~F ==> A) & (~I ==> ~F) & (~J & ~I)	False
(~C | ~F) & ~C & ~C & B & B & (E ==> ~I) & ~C & (J <=> E) & (J <=> E) . What is ~B ?	(~C | ~F) & ~C & B & (E ==> ~I) & (J <=> E) . What is ~B ?	(~C | ~F) & ~C & B & (E ==> ~I) & (J <=> E)	False
(F | ~H) & G & (~G ==> D) & (~G ==> D) & (~G ==> D) & F & F & G . What is G ?	(F | ~H) & G & (~G ==> D) & F . What is G ?	(F | ~H) & G & (~G ==> D) & F	True
D & D & D . What is ~D ?	D . What is ~D ?	D	False
~H & ~H . What is ~J ?	~H . What is ~J ?	~H	Unknown HELP!
(~G & ~I) & (~I ==> ~A) & (~I ==> ~A) & (E | ~G) & (E | ~G) & (~I ==> ~A) & (~G & ~I) & (E | ~G) & (~G & ~I) . What is I ?	(~G & ~I) & (~I ==> ~A) & (E | ~G) . What is I ?	(~G & ~I) & (~I ==> ~A) & (E | ~G)	False
A & (~D | ~H) & (C <=> ~D) & (~D | ~H) & (~D | ~H) & (~J ==> C) & (~J ==> C) & (C <=> ~D) . What is ~A ?	A & (~D | ~H) & (C <=> ~D) & (~J ==> C) . What is ~A ?	A & (~D | ~H) & (C <=> ~D) & (~J ==> C)	False
F & (H <=> ~C) & (A | F) & (H <=> ~C) & (H <=> ~C) & (A | F) & ~J & ~J & ~J . What is ~F ?	F & (H <=> ~C) & (A | F) & ~J . What is ~F ?	F & (H <=> ~C) & (A | F) & ~J	False
(A ^ ~H) & ~A & ~A & (C ==> G) & (C ==> G) & (C ==> G) . What is ~B ?	(A ^ ~H) & ~A & (C ==> G) . What is ~B ?	(A ^ ~H) & ~A & (C ==> G)	Unknown HELP!
(B <=> ~H) & (B <=> ~H) & (B <=> ~H) & (~F ^ B) & H & (~F ^ B) & (~F ^ B) & H . What is ~F ?	(B <=> ~H) & (~F ^ B) & H . What is ~F ?	(B <=> ~H) & (~F ^ B) & H	True
(D & ~E) & (D & ~E) & J & (D & ~E) & (~I & ~C) & J & (~I & ~C) & J & (~I & ~C) . What is ~I ?	(D & ~E) & J & (~I & ~C) . What is ~I ?	(D & ~E) & J & (~I & ~C)	True
E & (D & B) & B & B & E & (F <=> J) & (F <=> J) . What is E ?	E & (D & B) & B & (F <=> J) . What is E ?	E & (D & B) & B & (F <=> J)	True
~C . What is C ?	~C . What is C ?	~C	False
~D & (~E & B) & ~D & (~E & B) & (~E & B) & (B <=> ~I) & (B <=> ~I) . What is D ?	~D & (~E & B) & (B <=> ~I) . What is D ?	~D & (~E & B) & (B <=> ~I)	False
(F ^ E) & ~D & (F ^ E) & F & ~D & (A ^ ~B) & ~D & (~G <=> F) & (~G <=> F) & (A ^ ~B) & (A ^ ~B) . What is ~E ?	(F ^ E) & ~D & F & (A ^ ~B) & (~G <=> F) . What is ~E ?	(F ^ E) & ~D & F & (A ^ ~B) & (~G <=> F)	True
(~C ==> ~D) & (F & ~C) & (~C ==> ~D) & (~C ==> ~D) & ~C & (A | F) & (F & ~C) & (A | F) . What is ~D ?	(~C ==> ~D) & (F & ~C) & ~C & (A | F) . What is ~D ?	(~C ==> ~D) & (F & ~C) & ~C & (A | F)	True
(~E <=> F) & E & E & (~E <=> F) & (~E <=> F) . What is E ?	(~E <=> F) & E . What is E ?	(~E <=> F) & E	True
(~A & F) & (F <=> I) & (~A & F) & (~A & F) & (F <=> I) . What is F ?	(~A & F) & (F <=> I) . What is F ?	(~A & F) & (F <=> I)	True
F & F & F . What is F ?	F . What is F ?	F	True
J . What is ~J ?	J . What is ~J ?	J	False
(~D & G) & (C ==> ~E) & (G | C) & (C ==> ~E) & (C ==> ~E) & (G | C) & (~D & G) & (~D & G) . What is G ?	(~D & G) & (C ==> ~E) & (G | C) . What is G ?	(~D & G) & (C ==> ~E) & (G | C)	True
(G | E) & E & (G | E) . What is ~E ?	(G | E) & E . What is ~E ?	(G | E) & E	False
(~G ^ E) & (I & J) & ~F & H & (I & J) & H & H . What is ~F ?	(~G ^ E) & (I & J) & ~F & H . What is ~F ?	(~G ^ E) & (I & J) & ~F & H	True
(~D <=> H) & (~D <=> H) . What is C ?	(~D <=> H) . What is C ?	(~D <=> H)	Unknown HELP!
~B & ~B & (~D | F) & ~B & (~D | F) . What is E ?	~B & (~D | F) . What is E ?	~B & (~D | F)	Unknown HELP!
~H & C & (D <=> H) & ~H & (D <=> H) & (F & C) & ~H . What is F ?	~H & C & (D <=> H) & (F & C) . What is F ?	~H & C & (D <=> H) & (F & C)	True
(~F ^ ~J) & (~C ==> H) & E & (~E ^ ~F) & ~D & ~D & (~E ^ ~F) & (~J <=> ~B) & ~D . What is J ?	(~F ^ ~J) & (~C ==> H) & E & (~E ^ ~F) & ~D & (~J <=> ~B) . What is J ?	(~F ^ ~J) & (~C ==> H) & E & (~E ^ ~F) & ~D & (~J <=> ~B)	True
~B & ~B . What is B ?	~B . What is B ?	~B	False
~I . What is I ?	~I . What is I ?	~I	False
A . What is ~A ?	A . What is ~A ?	A	False
(B <=> G) & (G | J) & (G | J) & (B <=> G) . What is B ?	(B <=> G) & (G | J) . What is B ?	(B <=> G) & (G | J)	Unknown HELP!
J & J . What is ~J ?	J . What is ~J ?	J	False
(~D ==> I) & ~D & ~D & ~D & (I ==> ~C) & (I ==> ~C) & (I ==> ~C) & (~D ==> I) . What is ~C ?	(~D ==> I) & ~D & (I ==> ~C) . What is ~C ?	(~D ==> I) & ~D & (I ==> ~C)	True
(~D ^ ~H) . What is ~D ?	(~D ^ ~H) . What is ~D ?	(~D ^ ~H)	Unknown HELP!
(~C & D) & (B & ~C) & (B & ~C) & (A ==> B) & (~C & D) & (A ==> B) & (B & ~C) & (~C & D) & ~A . What is ~B ?	(~C & D) & (B & ~C) & (A ==> B) & ~A . What is ~B ?	(~C & D) & (B & ~C) & (A ==> B) & ~A	False
F & F & F . What is ~F ?	F . What is ~F ?	F	False
~D & (~C | J) & (~A ^ I) & (~A ^ I) & (G | ~A) & I & (~A ^ I) & I . What is A ?	~D & (~C | J) & (~A ^ I) & (G | ~A) & I . What is A ?	~D & (~C | J) & (~A ^ I) & (G | ~A) & I	True
A . What is A ?	A . What is A ?	A	True
E & E . What is E ?	E . What is E ?	E	True
F . What is ~F ?	F . What is ~F ?	F	False
~A . What is ~A ?	~A . What is ~A ?	~A	True
F & F & (~G & ~A) & (~G & ~A) & F & (~G & ~A) . What is G ?	F & (~G & ~A) . What is G ?	F & (~G & ~A)	False
~C . What is C ?	~C . What is C ?	~C	False
~J . What is ~J ?	~J . What is ~J ?	~J	True
H & (D ==> B) & (D ==> B) & (D ==> B) & (F | ~C) & (~H | F) & (F | ~C) & ~D & ~D & H . What is F ?	H & (D ==> B) & (F | ~C) & (~H | F) & ~D . What is F ?	H & (D ==> B) & (F | ~C) & (~H | F) & ~D	True
(A <=> F) & ~F & (A <=> F) & (A <=> F) & ~F & ~F . What is ~A ?	(A <=> F) & ~F . What is ~A ?	(A <=> F) & ~F	True
A & A & A . What is A ?	A . What is A ?	A	True
(I & ~F) & (E <=> ~A) & (E <=> ~A) & (I & ~F) & F & (I & ~F) & F & F & (B ==> E) & (B ==> E) & (~D | B) & (B ==> E) & (~D | B) & (~D | B) . What is ~H ?	(I & ~F) & (E <=> ~A) & F & (B ==> E) & (~D | B) . What is ~H ?	(I & ~F) & (E <=> ~A) & F & (B ==> E) & (~D | B)	Contradictory
~D & (F | ~C) & (F | ~C) & ~D & (~C <=> G) & (B | ~D) & (G ^ J) & (G ^ J) & ~F & ~F . What is ~C ?	~D & (F | ~C) & (~C <=> G) & (B | ~D) & (G ^ J) & ~F . What is ~C ?	~D & (F | ~C) & (~C <=> G) & (B | ~D) & (G ^ J) & ~F	True
E . What is ~E ?	E . What is ~E ?	E	False
~I & (B ^ ~I) & (B ^ ~I) & (~H <=> J) & (~I ^ ~D) & (~H <=> J) & (~I ^ ~D) & ~C & ~I & ~C & ~I . What is D ?	~I & (B ^ ~I) & (~H <=> J) & (~I ^ ~D) & ~C . What is D ?	~I & (B ^ ~I) & (~H <=> J) & (~I ^ ~D) & ~C	True
(~H & ~F) & H & (~F ^ ~B) & (~F ^ ~B) & (~F ^ ~B) . What is H ?	(~H & ~F) & H & (~F ^ ~B) . What is H ?	(~H & ~F) & H & (~F ^ ~B)	Contradictory
(D ==> J) & (~A & B) & (~A & B) & ~I & J & (I & ~A) & J & J . What is I ?	(D ==> J) & (~A & B) & ~I & J & (I & ~A) . What is I ?	(D ==> J) & (~A & B) & ~I & J & (I & ~A)	Contradictory
(~I | F) & (F <=> ~G) & (~C | ~D) & C & (~C | ~D) & ~G & (~C | ~D) & C & C & (F <=> ~G) & ~G . What is G ?	(~I | F) & (F <=> ~G) & (~C | ~D) & C & ~G . What is G ?	(~I | F) & (F <=> ~G) & (~C | ~D) & C & ~G	False
(~A | C) & (C ==> F) & G & (~I <=> ~E) & E & (~I <=> ~E) & (~A | C) & (C ==> F) & G . What is G ?	(~A | C) & (C ==> F) & G & (~I <=> ~E) & E . What is G ?	(~A | C) & (C ==> F) & G & (~I <=> ~E) & E	True
(D | ~C) & ~C & (D | ~C) & ~A & ~A & ~A & (A | ~I) . What is ~C ?	(D | ~C) & ~C & ~A & (A | ~I) . What is ~C ?	(D | ~C) & ~C & ~A & (A | ~I)	True
(~J & ~E) & (~E | A) & (~E | A) & (~E | A) . What is J ?	(~J & ~E) & (~E | A) . What is J ?	(~J & ~E) & (~E | A)	False
H & H & (~G <=> ~A) . What is H ?	H & (~G <=> ~A) . What is H ?	H & (~G <=> ~A)	True
(~C ==> H) & H & J & J & (J | F) & J & (~A ^ J) & (~A ^ J) & (~C ==> H) & (~A ^ J) & (~C ==> H) . What is A ?	(~C ==> H) & H & J & (J | F) & (~A ^ J) . What is A ?	(~C ==> H) & H & J & (J | F) & (~A ^ J)	True
C & C & (B ^ I) & (J ^ B) & (B ^ I) & (I | ~A) & (I | ~A) & (I | ~A) . What is C ?	C & (B ^ I) & (J ^ B) & (I | ~A) . What is C ?	C & (B ^ I) & (J ^ B) & (I | ~A)	True
D & D . What is ~D ?	D . What is ~D ?	D	False
C & C . What is ~C ?	C . What is ~C ?	C	False
(~B & D) & (~B & D) . What is ~D ?	(~B & D) . What is ~D ?	(~B & D)	False
~C & ~C & (~F & I) & (~F & I) & (~G | ~C) & (~C <=> ~F) & (~G | ~C) & (~G | ~C) . What is ~C ?	~C & (~F & I) & (~G | ~C) & (~C <=> ~F) . What is ~C ?	~C & (~F & I) & (~G | ~C) & (~C <=> ~F)	True
B & B & (~A & F) . What is F ?	B & (~A & F) . What is F ?	B & (~A & F)	True
~J & ~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
B . What is A ?	B . What is A ?	B	Unknown HELP!
(~A & B) & (~A & B) & (~E <=> ~A) & (~F | ~E) . What is ~E ?	(~A & B) & (~E <=> ~A) & (~F | ~E) . What is ~E ?	(~A & B) & (~E <=> ~A) & (~F | ~E)	True
(~H & E) & (~H & E) & (~H & E) & B & B & B . What is H ?	(~H & E) & B . What is H ?	(~H & E) & B	False
(H & I) & ~J & (~J ^ B) & (~J ^ B) & (~J ^ B) & ~J & ~J . What is ~I ?	(H & I) & ~J & (~J ^ B) . What is ~I ?	(H & I) & ~J & (~J ^ B)	False
(~A <=> ~B) & (~B ^ C) & H & (~A <=> ~B) & (~A <=> ~B) & H & H . What is H ?	(~A <=> ~B) & (~B ^ C) & H . What is H ?	(~A <=> ~B) & (~B ^ C) & H	True
E & E . What is E ?	E . What is E ?	E	True
(B <=> ~D) & (~J <=> ~A) & (~A ==> B) & D & (~A ==> B) & (~A ==> B) & D . What is A ?	(B <=> ~D) & (~J <=> ~A) & (~A ==> B) & D . What is A ?	(B <=> ~D) & (~J <=> ~A) & (~A ==> B) & D	True
~G & ~G & ~G . What is G ?	~G . What is G ?	~G	False
(E <=> ~B) & (~J & E) & (C <=> ~J) & (E <=> ~B) & (~J & E) & (~J & E) . What is ~E ?	(E <=> ~B) & (~J & E) & (C <=> ~J) . What is ~E ?	(E <=> ~B) & (~J & E) & (C <=> ~J)	False
