(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
~H & (~A ^ ~D) & ~H & (~F ^ C) & (~J <=> H) & (~A ^ ~D) & (~A ^ ~D) & (C | ~A) & (C | ~A) & (~J <=> H) & (~J <=> H) . What is ~A ?	~H & (~A ^ ~D) & (~F ^ C) & (~J <=> H) & (C | ~A) . What is ~A ?	~H & (~A ^ ~D) & (~F ^ C) & (~J <=> H) & (C | ~A)	Unknown HELP!
~B & ~B & (~D <=> ~J) & ~J & (H ==> ~I) & (~D <=> ~J) & (H ==> ~I) & (~J & ~F) & ~B & (H ==> ~I) & (~C ^ ~D) & (~C ^ ~D) & (~C ^ ~D) . What is ~D ?	~B & (~D <=> ~J) & ~J & (H ==> ~I) & (~J & ~F) & (~C ^ ~D) . What is ~D ?	~B & (~D <=> ~J) & ~J & (H ==> ~I) & (~J & ~F) & (~C ^ ~D)	True
I & (J & ~H) & I & (A <=> J) & (A <=> J) & (~G <=> ~I) & (J & ~H) & (~G <=> ~I) & (~G <=> ~I) . What is J ?	I & (J & ~H) & (A <=> J) & (~G <=> ~I) . What is J ?	I & (J & ~H) & (A <=> J) & (~G <=> ~I)	True
(~H ^ ~A) & (~J | ~C) & (~H ^ ~A) & ~C & (E & ~H) & ~C & (E & ~H) . What is ~D ?	(~H ^ ~A) & (~J | ~C) & ~C & (E & ~H) . What is ~D ?	(~H ^ ~A) & (~J | ~C) & ~C & (E & ~H)	Unknown HELP!
C & C . What is C ?	C . What is C ?	C	True
(~C ==> B) & ~B & (~G | ~C) & (~C ==> B) & (B <=> ~E) & (~G | ~C) & (B <=> ~E) . What is ~E ?	(~C ==> B) & ~B & (~G | ~C) & (B <=> ~E) . What is ~E ?	(~C ==> B) & ~B & (~G | ~C) & (B <=> ~E)	False
(H & ~I) & E & (E | H) & (E | H) & B & (J ==> ~G) & (F ==> E) & (H & ~I) & (H & ~I) . What is H ?	(H & ~I) & E & (E | H) & B & (J ==> ~G) & (F ==> E) . What is H ?	(H & ~I) & E & (E | H) & B & (J ==> ~G) & (F ==> E)	True
~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
(~C & G) & ~F & (~C & G) & (E & ~C) & (F | I) & (F | I) & ~F & ~F & (G ==> ~B) . What is C ?	(~C & G) & ~F & (E & ~C) & (F | I) & (G ==> ~B) . What is C ?	(~C & G) & ~F & (E & ~C) & (F | I) & (G ==> ~B)	False
(~D & ~E) & (~I ^ ~G) & (~D & ~E) & (~I ^ ~G) & (J ^ ~I) & (~D & ~E) & (~I ^ ~G) & ~D & (J ^ ~I) & (J ^ ~I) . What is A ?	(~D & ~E) & (~I ^ ~G) & (J ^ ~I) & ~D . What is A ?	(~D & ~E) & (~I ^ ~G) & (J ^ ~I) & ~D	Unknown HELP!
(~F & J) . What is F ?	(~F & J) . What is F ?	(~F & J)	False
(H & J) & (D | H) & (E <=> F) & ~G & ~E & ~G & (H & J) & ~E & (E <=> F) & (D | H) & ~E & (H & J) & (E <=> F) & ~G . What is G ?	(H & J) & (D | H) & (E <=> F) & ~G & ~E . What is G ?	(H & J) & (D | H) & (E <=> F) & ~G & ~E	False
A & A & A . What is ~A ?	A . What is ~A ?	A	False
(~G ^ H) & (H & I) & (H & I) & (~G ^ H) & (~G ^ H) . What is ~H ?	(~G ^ H) & (H & I) . What is ~H ?	(~G ^ H) & (H & I)	False
(~F | A) & B & (~F | A) & (I ==> B) & (~F | A) & (E ==> ~D) & (E ==> ~D) & (A | E) & ~E & (A | E) & ~E & (A | E) & (E ==> ~D) . What is ~E ?	(~F | A) & B & (I ==> B) & (E ==> ~D) & (A | E) & ~E . What is ~E ?	(~F | A) & B & (I ==> B) & (E ==> ~D) & (A | E) & ~E	True
~J & (~E | ~F) & ~J & (~F | J) & (~E | ~F) & B & (~D ==> B) & (~F | J) & (~D ==> B) & (~D ==> B) & (~F | J) . What is ~J ?	~J & (~E | ~F) & (~F | J) & B & (~D ==> B) . What is ~J ?	~J & (~E | ~F) & (~F | J) & B & (~D ==> B)	True
~I & (G | I) & ~I & (G | I) & ~I & ~C & (B ^ F) & (B ^ F) & (I | E) & (I | E) & (B ^ F) . What is G ?	~I & (G | I) & ~C & (B ^ F) & (I | E) . What is G ?	~I & (G | I) & ~C & (B ^ F) & (I | E)	True
~F . What is F ?	~F . What is F ?	~F	False
~F & (A | C) & (~D ==> ~F) & H & (~D ==> ~F) & (H <=> A) . What is ~H ?	~F & (A | C) & (~D ==> ~F) & H & (H <=> A) . What is ~H ?	~F & (A | C) & (~D ==> ~F) & H & (H <=> A)	False
B & (J <=> B) & (I ==> J) & B & (J <=> B) . What is B ?	B & (J <=> B) & (I ==> J) . What is B ?	B & (J <=> B) & (I ==> J)	True
A & (~A | E) & G & (~A | E) & (~G ==> I) & A & (~G ==> I) & (C & ~G) & (~G ==> I) & (C & ~G) & A . What is G ?	A & (~A | E) & G & (~G ==> I) & (C & ~G) . What is G ?	A & (~A | E) & G & (~G ==> I) & (C & ~G)	Contradictory
(F | ~I) & (F | ~I) & (F | ~I) & (~I <=> ~H) & (~H <=> D) . What is H ?	(F | ~I) & (~I <=> ~H) & (~H <=> D) . What is H ?	(F | ~I) & (~I <=> ~H) & (~H <=> D)	Unknown HELP!
C & C & C . What is I ?	C . What is I ?	C	Unknown HELP!
(G ==> ~C) & (~B & ~F) & (G ==> ~C) & (~B & ~F) & (~C ==> A) & E & (A & D) & (A & D) & (A & D) . What is D ?	(G ==> ~C) & (~B & ~F) & (~C ==> A) & E & (A & D) . What is D ?	(G ==> ~C) & (~B & ~F) & (~C ==> A) & E & (A & D)	True
(~A ==> H) & (H & F) & ~A & ~A & ~A & (H & F) & (H & F) . What is ~F ?	(~A ==> H) & (H & F) & ~A . What is ~F ?	(~A ==> H) & (H & F) & ~A	False
(~C ==> J) & (~E & ~D) & ~G & (~C ==> J) & ~E & ~E & ~E . What is G ?	(~C ==> J) & (~E & ~D) & ~G & ~E . What is G ?	(~C ==> J) & (~E & ~D) & ~G & ~E	False
~J & ~J . What is J ?	~J . What is J ?	~J	False
(~F <=> ~G) & ~I & (D & ~F) & (~F <=> ~G) & (A ==> ~H) & (D & ~F) & ~F & (~F <=> ~G) & (D & ~F) & ~F & (A ==> ~H) & (A ==> ~H) . What is F ?	(~F <=> ~G) & ~I & (D & ~F) & (A ==> ~H) & ~F . What is F ?	(~F <=> ~G) & ~I & (D & ~F) & (A ==> ~H) & ~F	False
I & (~D | ~I) & I & (J & ~E) & ~G & (~G ==> J) & (~G ==> J) & ~G & (~G ==> J) . What is J ?	I & (~D | ~I) & (J & ~E) & ~G & (~G ==> J) . What is J ?	I & (~D | ~I) & (J & ~E) & ~G & (~G ==> J)	True
~B & (B <=> ~J) & (~J <=> F) & (B <=> ~J) & ~H & (~J <=> F) & (~J <=> F) & (~H ==> D) & (~H ==> D) & (B <=> ~J) & (~H ==> D) . What is ~J ?	~B & (B <=> ~J) & (~J <=> F) & ~H & (~H ==> D) . What is ~J ?	~B & (B <=> ~J) & (~J <=> F) & ~H & (~H ==> D)	False
(C <=> I) & I & (C <=> I) & I . What is ~I ?	(C <=> I) & I . What is ~I ?	(C <=> I) & I	False
 . What is B ?	 . What is B ?		Unknown HELP!
~E & ~E . What is E ?	~E . What is E ?	~E	False
E & (B ^ E) & (H & ~J) & (B ^ E) & (B ^ E) & (H & ~J) & (H & ~J) . What is ~J ?	E & (B ^ E) & (H & ~J) . What is ~J ?	E & (B ^ E) & (H & ~J)	True
(~I <=> G) & E & (G & ~A) & (~I <=> G) & E & (~E ^ ~J) & E & A & A & A . What is ~F ?	(~I <=> G) & E & (G & ~A) & (~E ^ ~J) & A . What is ~F ?	(~I <=> G) & E & (G & ~A) & (~E ^ ~J) & A	Contradictory
~A & (~H | D) & (J & ~C) & (~H | D) & ~D & ~A & ~A . What is ~A ?	~A & (~H | D) & (J & ~C) & ~D . What is ~A ?	~A & (~H | D) & (J & ~C) & ~D	True
(~G & F) & (F ==> ~B) & (F ==> ~B) & (F ==> ~B) & (~G & F) & (~G & F) & (~B | A) & (~B | A) & (~B | A) . What is G ?	(~G & F) & (F ==> ~B) & (~B | A) . What is G ?	(~G & F) & (F ==> ~B) & (~B | A)	False
J & (G ^ C) & (C & ~H) & (~A ==> ~I) & ~H & ~H & (~A ==> ~I) & (~A ==> ~I) . What is ~G ?	J & (G ^ C) & (C & ~H) & (~A ==> ~I) & ~H . What is ~G ?	J & (G ^ C) & (C & ~H) & (~A ==> ~I) & ~H	True
(~A ^ ~H) & (~A ^ ~H) & C & (C | J) & (C | J) & (D & F) & ~F & (C | J) & (D & F) & ~F & (~H ==> C) & (~H ==> C) . What is ~C ?	(~A ^ ~H) & C & (C | J) & (D & F) & ~F & (~H ==> C) . What is ~C ?	(~A ^ ~H) & C & (C | J) & (D & F) & ~F & (~H ==> C)	Contradictory
G & ~H & ~H & (H & ~E) & (C ^ ~F) & (~G & ~A) & (~E & C) & (~E & C) & (C ^ ~F) . What is J ?	G & ~H & (H & ~E) & (C ^ ~F) & (~G & ~A) & (~E & C) . What is J ?	G & ~H & (H & ~E) & (C ^ ~F) & (~G & ~A) & (~E & C)	Contradictory
(D | ~A) & (G & D) & (G & D) & (G & D) . What is A ?	(D | ~A) & (G & D) . What is A ?	(D | ~A) & (G & D)	Unknown HELP!
G . What is ~G ?	G . What is ~G ?	G	False
J & J & J . What is ~J ?	J . What is ~J ?	J	False
(~J ==> A) & (~J ==> A) & (~F & G) & (G ^ ~J) & (~J ==> A) & (G ^ ~J) . What is ~F ?	(~J ==> A) & (~F & G) & (G ^ ~J) . What is ~F ?	(~J ==> A) & (~F & G) & (G ^ ~J)	True
(~G & J) & (~G & J) & A & (J <=> ~C) & (~A ==> ~E) & J & A & A & J & J & (~G & J) . What is C ?	(~G & J) & A & (J <=> ~C) & (~A ==> ~E) & J . What is C ?	(~G & J) & A & (J <=> ~C) & (~A ==> ~E) & J	False
(D ==> ~G) & (~E ==> I) & (D ==> ~G) & B & ~G & B & B & ~G & ~G . What is I ?	(D ==> ~G) & (~E ==> I) & B & ~G . What is I ?	(D ==> ~G) & (~E ==> I) & B & ~G	Unknown HELP!
G . What is G ?	G . What is G ?	G	True
(~G | F) & (~A | ~G) & J & (J & ~B) & J & J . What is ~G ?	(~G | F) & (~A | ~G) & J & (J & ~B) . What is ~G ?	(~G | F) & (~A | ~G) & J & (J & ~B)	Unknown HELP!
F & F . What is ~F ?	F . What is ~F ?	F	False
~C & ~C & ~C . What is C ?	~C . What is C ?	~C	False
(~C <=> H) & (H <=> J) & ~C & (H <=> J) & (H <=> J) & (J | ~F) & (~C <=> H) & (J | ~F) & (J | ~F) . What is ~C ?	(~C <=> H) & (H <=> J) & ~C & (J | ~F) . What is ~C ?	(~C <=> H) & (H <=> J) & ~C & (J | ~F)	True
~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
~A & (H & B) & (~A <=> H) & (B ^ ~J) & (B ^ ~J) & (~A <=> H) & ~A & (~A <=> H) & ~A & (B ^ ~J) . What is B ?	~A & (H & B) & (~A <=> H) & (B ^ ~J) . What is B ?	~A & (H & B) & (~A <=> H) & (B ^ ~J)	True
~D & (~D <=> H) & ~G & ~D & (~I ^ G) & (~D <=> H) & (~I ^ G) & ~D & (~D <=> H) & (~I ^ G) . What is G ?	~D & (~D <=> H) & ~G & (~I ^ G) . What is G ?	~D & (~D <=> H) & ~G & (~I ^ G)	False
(D & J) & (J & ~A) & (J & ~A) & (J & ~A) & (D & J) . What is ~A ?	(D & J) & (J & ~A) . What is ~A ?	(D & J) & (J & ~A)	True
(F ^ C) & (F ^ C) & (~D <=> E) & (E & ~A) & (~D <=> E) & ~C & (~A | B) & (~D <=> E) & E & (~A | B) & (~A | B) . What is E ?	(F ^ C) & (~D <=> E) & (E & ~A) & ~C & (~A | B) & E . What is E ?	(F ^ C) & (~D <=> E) & (E & ~A) & ~C & (~A | B) & E	True
(A <=> E) & (A <=> E) & (A <=> E) & (~C ^ A) & (~C ^ A) & (~C ^ A) & ~C & ~C . What is ~E ?	(A <=> E) & (~C ^ A) & ~C . What is ~E ?	(A <=> E) & (~C ^ A) & ~C	True
(~J ^ H) & (~F & ~E) & ~H & ~E & ~E & ~E & ~H . What is F ?	(~J ^ H) & (~F & ~E) & ~H & ~E . What is F ?	(~J ^ H) & (~F & ~E) & ~H & ~E	False
(~I <=> ~A) & I & I & I & (~I <=> ~A) . What is A ?	(~I <=> ~A) & I . What is A ?	(~I <=> ~A) & I	True
B & (~F <=> ~G) & (~C <=> H) & F & (H | ~F) & (H | ~F) & (H | ~F) & (~C <=> H) & (~E <=> ~D) & (~E <=> ~D) & B & F & B & (~F <=> ~G) & F & (~F <=> ~G) & (~E <=> ~D) . What is G ?	B & (~F <=> ~G) & (~C <=> H) & F & (H | ~F) & (~E <=> ~D) . What is G ?	B & (~F <=> ~G) & (~C <=> H) & F & (H | ~F) & (~E <=> ~D)	True
(~E | ~B) & (~E | ~B) & (~B & ~A) & (G <=> ~E) . What is ~A ?	(~E | ~B) & (~B & ~A) & (G <=> ~E) . What is ~A ?	(~E | ~B) & (~B & ~A) & (G <=> ~E)	True
E & ~D & ~D & (~H <=> ~D) & (~F ^ ~E) & E . What is ~F ?	E & ~D & (~H <=> ~D) & (~F ^ ~E) . What is ~F ?	E & ~D & (~H <=> ~D) & (~F ^ ~E)	True
F & (B & C) & C & (H <=> B) & C & (~D | ~J) & (~D | ~J) & (B & C) & C . What is C ?	F & (B & C) & C & (H <=> B) & (~D | ~J) . What is C ?	F & (B & C) & C & (H <=> B) & (~D | ~J)	True
A . What is A ?	A . What is A ?	A	True
(B ==> A) & (~I | C) & (B ==> A) & H & (C <=> B) & C & H & (~I | C) & (~H & ~J) & (C <=> B) & (C <=> B) & H . What is A ?	(B ==> A) & (~I | C) & H & (C <=> B) & C & (~H & ~J) . What is A ?	(B ==> A) & (~I | C) & H & (C <=> B) & C & (~H & ~J)	Contradictory
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(F & ~G) & (~A & ~B) & G & ~H & G & ~H & (~A & ~B) & (~A & ~B) . What is H ?	(F & ~G) & (~A & ~B) & G & ~H . What is H ?	(F & ~G) & (~A & ~B) & G & ~H	Contradictory
(E & ~H) & (E & ~H) & B & (~B & E) & (~B & E) & (~B & E) . What is ~E ?	(E & ~H) & B & (~B & E) . What is ~E ?	(E & ~H) & B & (~B & E)	Contradictory
(~C <=> I) & (H | ~C) & H & (~C <=> I) & H . What is ~C ?	(~C <=> I) & (H | ~C) & H . What is ~C ?	(~C <=> I) & (H | ~C) & H	Unknown HELP!
~H & (~F & E) & (~B <=> ~F) & (~B <=> ~F) & (~F & E) & I & (~C & H) & ~H & (~F & E) & (~C & H) & ~H & I & (~C & H) . What is F ?	~H & (~F & E) & (~B <=> ~F) & I & (~C & H) . What is F ?	~H & (~F & E) & (~B <=> ~F) & I & (~C & H)	Contradictory
(A ==> E) & ~G & (A ==> E) & (~D & A) & (~B | ~D) & (~D & A) & (~D & A) & (~B | ~D) & (~B | ~D) . What is G ?	(A ==> E) & ~G & (~D & A) & (~B | ~D) . What is G ?	(A ==> E) & ~G & (~D & A) & (~B | ~D)	False
(~G | ~I) . What is ~E ?	(~G | ~I) . What is ~E ?	(~G | ~I)	Unknown HELP!
(H | ~F) & ~H & ~H & ~H & (~D ==> H) . What is ~D ?	(H | ~F) & ~H & (~D ==> H) . What is ~D ?	(H | ~F) & ~H & (~D ==> H)	False
~C & ~C . What is C ?	~C . What is C ?	~C	False
(J & ~G) & (~G & E) & (J & ~G) & ~E & (J & ~G) & (~G & E) & ~E & ~E & (~G & E) . What is H ?	(J & ~G) & (~G & E) & ~E . What is H ?	(J & ~G) & (~G & E) & ~E	Contradictory
~J & (J | ~I) & (J | ~I) & (E & G) & ~J & ~E & ~J . What is G ?	~J & (J | ~I) & (E & G) & ~E . What is G ?	~J & (J | ~I) & (E & G) & ~E	Contradictory
~F & (~E & F) & (F | ~G) & (F | ~G) & ~F & (~E & F) & (~E & F) & ~F . What is ~F ?	~F & (~E & F) & (F | ~G) . What is ~F ?	~F & (~E & F) & (F | ~G)	Contradictory
J & (B ==> ~G) & ~B & (B ==> ~G) & (F ^ ~J) & ~B . What is ~F ?	J & (B ==> ~G) & ~B & (F ^ ~J) . What is ~F ?	J & (B ==> ~G) & ~B & (F ^ ~J)	False
G & G & (A | C) & (A | C) & (A | C) & ~C & (I <=> H) & (I <=> H) & G & (I <=> H) . What is ~A ?	G & (A | C) & ~C & (I <=> H) . What is ~A ?	G & (A | C) & ~C & (I <=> H)	False
(G & ~F) & (~C | ~H) & (G & ~F) & D & (G & ~F) & H & (~B | ~D) & D & D & H & (~D & G) & (~D & G) . What is ~D ?	(G & ~F) & (~C | ~H) & D & H & (~B | ~D) & (~D & G) . What is ~D ?	(G & ~F) & (~C | ~H) & D & H & (~B | ~D) & (~D & G)	Contradictory
(~G & ~E) & (~G & ~E) & (~G & ~E) . What is ~C ?	(~G & ~E) . What is ~C ?	(~G & ~E)	Unknown HELP!
~H & (~H <=> J) & (~H <=> J) & ~C & ~C & (J & ~I) & (G | ~E) & (G | ~E) & (J & ~I) & (J & ~I) . What is H ?	~H & (~H <=> J) & ~C & (J & ~I) & (G | ~E) . What is H ?	~H & (~H <=> J) & ~C & (J & ~I) & (G | ~E)	False
(~H ^ G) & (~H ^ G) & (G <=> E) . What is ~C ?	(~H ^ G) & (G <=> E) . What is ~C ?	(~H ^ G) & (G <=> E)	Unknown HELP!
G . What is G ?	G . What is G ?	G	True
F . What is ~F ?	F . What is ~F ?	F	False
~E & (C & ~I) . What is C ?	~E & (C & ~I) . What is C ?	~E & (C & ~I)	True
(H ^ J) & (G & I) & (H ^ J) & (H ^ J) & (G & I) & G & ~D & ~D & ~D . What is G ?	(H ^ J) & (G & I) & G & ~D . What is G ?	(H ^ J) & (G & I) & G & ~D	True
~I & C & C & C & (~G ^ H) & (~E | ~A) & ~I & (H ^ C) . What is G ?	~I & C & (~G ^ H) & (~E | ~A) & (H ^ C) . What is G ?	~I & C & (~G ^ H) & (~E | ~A) & (H ^ C)	False
~B & ~H & ~B & (I ^ ~B) & (A & J) & ~B & (I ^ ~B) & (D <=> A) & (D <=> A) & ~H & (D <=> A) . What is ~A ?	~B & ~H & (I ^ ~B) & (A & J) & (D <=> A) . What is ~A ?	~B & ~H & (I ^ ~B) & (A & J) & (D <=> A)	False
(~A | C) & (D & ~B) & (~A | C) & (~B <=> ~A) . What is ~A ?	(~A | C) & (D & ~B) & (~B <=> ~A) . What is ~A ?	(~A | C) & (D & ~B) & (~B <=> ~A)	True
(I <=> G) & ~I & (I <=> G) . What is ~G ?	(I <=> G) & ~I . What is ~G ?	(I <=> G) & ~I	True
(~F & I) & (~F & I) & (I & ~B) & (~B | ~G) & A & A & (~B | ~G) & (~B | ~G) & (~A ^ D) . What is ~F ?	(~F & I) & (I & ~B) & (~B | ~G) & A & (~A ^ D) . What is ~F ?	(~F & I) & (I & ~B) & (~B | ~G) & A & (~A ^ D)	True
J & E & E & (~J <=> F) & (~J <=> F) & (~I | H) & (~I | H) & (F | D) & (F | D) . What is D ?	J & E & (~J <=> F) & (~I | H) & (F | D) . What is D ?	J & E & (~J <=> F) & (~I | H) & (F | D)	True
(E <=> F) & (C & E) & ~I & (E <=> F) & ~I . What is F ?	(E <=> F) & (C & E) & ~I . What is F ?	(E <=> F) & (C & E) & ~I	True
(~F & H) & (J <=> I) & (I <=> ~F) & (J <=> I) & (I <=> ~F) . What is ~I ?	(~F & H) & (J <=> I) & (I <=> ~F) . What is ~I ?	(~F & H) & (J <=> I) & (I <=> ~F)	False
~C . What is C ?	~C . What is C ?	~C	False
G & (G & D) & (D ^ ~J) & (G & D) & (G & D) & (~J | E) & (~J | E) & (D ^ ~J) & (D ^ ~J) . What is D ?	G & (G & D) & (D ^ ~J) & (~J | E) . What is D ?	G & (G & D) & (D ^ ~J) & (~J | E)	True
~C & (~F <=> B) & (~F <=> B) & ~C . What is C ?	~C & (~F <=> B) . What is C ?	~C & (~F <=> B)	False
I & I & I . What is ~I ?	I . What is ~I ?	I	False
E & E . What is E ?	E . What is E ?	E	True
~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
J & J & J . What is J ?	J . What is J ?	J	True
(~J ==> ~E) & A & A . What is ~A ?	(~J ==> ~E) & A . What is ~A ?	(~J ==> ~E) & A	False
~E . What is E ?	~E . What is E ?	~E	False
(~G ^ ~E) & E . What is E ?	(~G ^ ~E) & E . What is E ?	(~G ^ ~E) & E	True
H . What is H ?	H . What is H ?	H	True
E & (I <=> E) & (E | ~H) & (~H <=> ~F) & (E | ~H) & (~H <=> ~F) & (E | ~H) . What is ~F ?	E & (I <=> E) & (E | ~H) & (~H <=> ~F) . What is ~F ?	E & (I <=> E) & (E | ~H) & (~H <=> ~F)	Unknown HELP!
~D & ~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
J & J & J . What is J ?	J . What is J ?	J	True
(G & ~F) & B & (G & ~F) & (~F | J) & (~F | J) & (~F | J) & (B ==> I) & (G & ~F) . What is F ?	(G & ~F) & B & (~F | J) & (B ==> I) . What is F ?	(G & ~F) & B & (~F | J) & (B ==> I)	False
G & G & G . What is ~G ?	G . What is ~G ?	G	False
(A & ~E) & (A & ~E) . What is A ?	(A & ~E) . What is A ?	(A & ~E)	True
~I & (~C ==> J) & ~I & (H ==> ~C) & ~G & (H ==> ~C) & (~B ^ H) & ~G & (D <=> G) & (D <=> G) & (D <=> G) . What is I ?	~I & (~C ==> J) & (H ==> ~C) & ~G & (~B ^ H) & (D <=> G) . What is I ?	~I & (~C ==> J) & (H ==> ~C) & ~G & (~B ^ H) & (D <=> G)	False
D & (~G & J) & (I ==> ~D) & (~G & J) & (~C ^ ~H) & (J ^ ~C) & (~C ^ ~H) . What is ~G ?	D & (~G & J) & (I ==> ~D) & (~C ^ ~H) & (J ^ ~C) . What is ~G ?	D & (~G & J) & (I ==> ~D) & (~C ^ ~H) & (J ^ ~C)	True
(I & B) & B & (I & B) & (I & B) & B . What is ~I ?	(I & B) & B . What is ~I ?	(I & B) & B	False
(J | E) & (J | E) & ~E & ~E & (C ^ ~D) & ~F & ~E & ~F . What is ~F ?	(J | E) & ~E & (C ^ ~D) & ~F . What is ~F ?	(J | E) & ~E & (C ^ ~D) & ~F	True
~I & (J ==> D) & H & (~B ^ ~C) & ~I & (~B ^ ~C) & (~B ^ ~C) . What is ~I ?	~I & (J ==> D) & H & (~B ^ ~C) . What is ~I ?	~I & (J ==> D) & H & (~B ^ ~C)	True
~F & J & (B ==> ~G) & (~F ==> B) & ~F & (~F ==> B) & (E & ~I) & (E & ~I) & J & (E & ~I) . What is ~G ?	~F & J & (B ==> ~G) & (~F ==> B) & (E & ~I) . What is ~G ?	~F & J & (B ==> ~G) & (~F ==> B) & (E & ~I)	True
J & (~J & ~I) & (~J & ~I) & (F & ~A) & (~A <=> C) & (~J & ~I) . What is D ?	J & (~J & ~I) & (F & ~A) & (~A <=> C) . What is D ?	J & (~J & ~I) & (F & ~A) & (~A <=> C)	Contradictory
(F ==> D) & (~H & A) & (~H & A) & (A <=> F) & (~H & A) & (F ==> D) . What is A ?	(F ==> D) & (~H & A) & (A <=> F) . What is A ?	(F ==> D) & (~H & A) & (A <=> F)	True
(A & ~F) & (B <=> A) & (B <=> A) & (D <=> B) & (D <=> B) & (D <=> B) & ~A & (A & ~F) & ~A . What is ~F ?	(A & ~F) & (B <=> A) & (D <=> B) & ~A . What is ~F ?	(A & ~F) & (B <=> A) & (D <=> B) & ~A	Contradictory
(B | G) & (~E | ~F) & ~I & ~I & ~I . What is ~D ?	(B | G) & (~E | ~F) & ~I . What is ~D ?	(B | G) & (~E | ~F) & ~I	Unknown HELP!
(~B ^ ~A) & ~A & (~A ==> D) & (~A ==> D) . What is ~D ?	(~B ^ ~A) & ~A & (~A ==> D) . What is ~D ?	(~B ^ ~A) & ~A & (~A ==> D)	False
~G & (~I <=> J) & ~G & (~I <=> J) & ~H & ~H & (~G <=> D) & ~H & (J ^ ~H) & ~G & (J ^ ~H) & (~G <=> D) & (J ^ ~H) . What is I ?	~G & (~I <=> J) & ~H & (~G <=> D) & (J ^ ~H) . What is I ?	~G & (~I <=> J) & ~H & (~G <=> D) & (J ^ ~H)	True
(H | ~G) & H & (~G & ~D) & (H | ~G) & (~G & ~D) . What is G ?	(H | ~G) & H & (~G & ~D) . What is G ?	(H | ~G) & H & (~G & ~D)	False
C . What is ~A ?	C . What is ~A ?	C	Unknown HELP!
E & E . What is ~E ?	E . What is ~E ?	E	False
(B <=> ~E) & ~C & ~C & (~C <=> I) & (~C <=> I) & E & (~C <=> I) & E . What is E ?	(B <=> ~E) & ~C & (~C <=> I) & E . What is E ?	(B <=> ~E) & ~C & (~C <=> I) & E	True
(D ^ ~J) & (H & ~I) & (~I ==> ~G) & (~I ==> ~G) & (~G ==> E) & (H & ~I) & (~G ==> E) & (H & ~I) & J & J & J . What is ~H ?	(D ^ ~J) & (H & ~I) & (~I ==> ~G) & (~G ==> E) & J . What is ~H ?	(D ^ ~J) & (H & ~I) & (~I ==> ~G) & (~G ==> E) & J	False
(~C | ~D) & (~C | ~D) & (E ==> H) & A & C & A & (E ==> H) & (E ==> H) . What is C ?	(~C | ~D) & (E ==> H) & A & C . What is C ?	(~C | ~D) & (E ==> H) & A & C	True
(~G | ~B) & ~H & ~H & (~G | ~B) & (J <=> ~I) & (J <=> ~I) & (~G | ~B) & J & J . What is ~I ?	(~G | ~B) & ~H & (J <=> ~I) & J . What is ~I ?	(~G | ~B) & ~H & (J <=> ~I) & J	True
~H & ~H . What is C ?	~H . What is C ?	~H	Unknown HELP!
J & J . What is J ?	J . What is J ?	J	True
(G ^ ~H) & ~J & (G ^ ~H) & (~H ^ E) & (~J & G) & (G ^ ~H) & (~H ^ E) & (~J & G) & (~J & G) . What is E ?	(G ^ ~H) & ~J & (~H ^ E) & (~J & G) . What is E ?	(G ^ ~H) & ~J & (~H ^ E) & (~J & G)	True
~F & (F ==> ~A) & (E & ~D) & (E & ~D) & J & (E & ~D) & ~F . What is ~J ?	~F & (F ==> ~A) & (E & ~D) & J . What is ~J ?	~F & (F ==> ~A) & (E & ~D) & J	False
(~D & ~H) & (~D & ~H) & (I & J) & ~H & (~D & ~H) & (~H ==> I) & (~H ==> I) & E & E & ~H & (~H ==> I) & (~E ==> A) & (~E ==> A) . What is ~I ?	(~D & ~H) & (I & J) & ~H & (~H ==> I) & E & (~E ==> A) . What is ~I ?	(~D & ~H) & (I & J) & ~H & (~H ==> I) & E & (~E ==> A)	False
~I & ~I . What is I ?	~I . What is I ?	~I	False
(~J & B) & (~J & B) & (~J & B) & (A & ~J) & (A & ~J) & (A & ~J) . What is A ?	(~J & B) & (A & ~J) . What is A ?	(~J & B) & (A & ~J)	True
(~D ^ I) & (J & ~D) & (J & ~D) . What is D ?	(~D ^ I) & (J & ~D) . What is D ?	(~D ^ I) & (J & ~D)	False
~F & ~F & ~F . What is F ?	~F . What is F ?	~F	False
~E & ~E & ~E . What is E ?	~E . What is E ?	~E	False
D . What is D ?	D . What is D ?	D	True
(F ^ C) & (~I | F) & C & C & C . What is ~F ?	(F ^ C) & (~I | F) & C . What is ~F ?	(F ^ C) & (~I | F) & C	True
A & A & A . What is ~A ?	A . What is ~A ?	A	False
